tbs,snr,bler,itbs,nr,nru
16,-30,0.9588317871,0,128,128
16,-30,0.999420166,0,64,64
16,-30,1,0,1,1
16,-30,1,0,2,2
16,-30,1,0,4,4
16,-30,1,0,8,8
16,-30,1,0,16,16
16,-30,1,0,32,32
16,-29.5,0.9266357422,0,128,128
16,-29.5,0.9992370605,0,64,64
16,-29.5,1,0,1,1
16,-29.5,1,0,2,2
16,-29.5,1,0,4,4
16,-29.5,1,0,8,8
16,-29.5,1,0,16,16
16,-29.5,1,0,32,32
16,-29,0.8664855957,0,128,128
16,-29,0.9978027344,0,64,64
16,-29,1,0,1,1
16,-29,1,0,2,2
16,-29,1,0,4,4
16,-29,1,0,8,8
16,-29,1,0,16,16
16,-29,1,0,32,32
16,-28.5,0.770904541,0,128,128
16,-28.5,0.996307373,0,64,64
16,-28.5,1,0,1,1
16,-28.5,1,0,2,2
16,-28.5,1,0,4,4
16,-28.5,1,0,8,8
16,-28.5,1,0,16,16
16,-28.5,1,0,32,32
16,-28,0.6393737793,0,128,128
16,-28,0.9914855957,0,64,64
16,-28,0.9999389648,0,32,32
16,-28,1,0,1,1
16,-28,1,0,2,2
16,-28,1,0,4,4
16,-28,1,0,8,8
16,-28,1,0,16,16
16,-27.5,0.4896850586,0,128,128
16,-27.5,0.9820861816,0,64,64
16,-27.5,0.9998779297,0,32,32
16,-27.5,1,0,1,1
16,-27.5,1,0,2,2
16,-27.5,1,0,4,4
16,-27.5,1,0,8,8
16,-27.5,1,0,16,16
16,-27,0.3330688477,0,128,128
16,-27,0.9645690918,0,64,64
16,-27,0.9996337891,0,32,32
16,-27,1,0,1,1
16,-27,1,0,2,2
16,-27,1,0,4,4
16,-27,1,0,8,8
16,-27,1,0,16,16
16,-26.5,0.1956176758,0,128,128
16,-26.5,0.928314209,0,64,64
16,-26.5,0.9993591309,0,32,32
16,-26.5,1,0,1,1
16,-26.5,1,0,2,2
16,-26.5,1,0,4,4
16,-26.5,1,0,8,8
16,-26.5,1,0,16,16
16,-26,0.0956726074,0,128,128
16,-26,0.8659973145,0,64,64
16,-26,0.9981689453,0,32,32
16,-26,1,0,1,1
16,-26,1,0,2,2
16,-26,1,0,4,4
16,-26,1,0,8,8
16,-26,1,0,16,16
16,-25.5,0.0368347168,0,128,128
16,-25.5,0.7747497559,0,64,64
16,-25.5,0.9970397949,0,32,32
16,-25.5,1,0,1,1
16,-25.5,1,0,2,2
16,-25.5,1,0,4,4
16,-25.5,1,0,8,8
16,-25.5,1,0,16,16
16,-25,0.0119934082,0,128,128
16,-25,0.6407165527,0,64,64
