snr,tbs,itbs,nr,bler
-30,16,0,1,1
-30,16,0,2,1
-30,16,0,4,1
-30,16,0,8,1
-30,16,0,16,1
-30,16,0,32,1
-30,16,0,64,0.999420166
-30,16,0,128,0.9588317871
-30,24,1,1,1
-30,24,1,2,1
-30,24,1,4,1
-30,24,1,8,1
-30,24,1,16,1
-30,24,1,32,1
-30,24,1,64,1
-30,24,1,128,0.9936828613
-30,32,0,1,1
-30,32,0,2,1
-30,32,0,4,1
-30,32,0,8,1
-30,32,0,16,1
-30,32,0,32,1
-30,32,0,64,0.9992370605
-30,32,0,128,0.8293151855
-30,32,2,1,1
-30,32,2,2,1
-30,32,2,4,1
-30,32,2,8,1
-30,32,2,16,1
-30,32,2,32,1
-30,32,2,64,1
-30,32,2,128,0.9992675781
-30,40,3,1,1
-30,40,3,2,1
-30,40,3,4,1
-30,40,3,8,1
-30,40,3,16,1
-30,40,3,32,1
-30,40,3,64,1
-30,40,3,128,0.9999084473
-30,56,0,1,1
-30,56,0,2,1
-30,56,0,4,1
-30,56,0,8,1
-30,56,0,16,1
-30,56,0,32,1
-30,56,0,64,0.9999389648
-30,56,0,128,0.8295288086
-30,56,1,1,1
-30,56,1,2,1
-30,56,1,4,1
-30,56,1,8,1
-30,56,1,16,1
-30,56,1,32,1
-30,56,1,64,1
-30,56,1,128,0.9962768555
-30,56,4,1,1
-30,56,4,2,1
-30,56,4,4,1
-30,56,4,8,1
-30,56,4,16,1
-30,56,4,32,1
-30,56,4,64,1
-30,56,4,128,1
-30,72,2,1,1
-30,72,2,2,1
-30,72,2,4,1
-30,72,2,8,1
-30,72,2,16,1
-30,72,2,32,1
-30,72,2,64,1
-30,72,2,128,0.9999694824
-30,72,5,1,1
-30,72,5,2,1
-30,72,5,4,1
-30,72,5,8,1
-30,72,5,16,1
-30,72,5,32,1
-30,72,5,64,1
-30,72,5,128,1
-30,88,0,1,1
-30,88,0,2,1
-30,88,0,4,1
-30,88,0,8,1
-30,88,0,16,1
-30,88,0,32,1
-30,88,0,64,1
-30,88,0,128,0.9290466309
-30,88,1,1,1
-30,88,1,2,1
-30,88,1,4,1
-30,88,1,8,1
-30,88,1,16,1
-30,88,1,32,1
-30,88,1,64,1
-30,88,1,128,0.998260498
-30,88,6,1,1
-30,88,6,2,1
-30,88,6,4,1
-30,88,6,8,1
-30,88,6,16,1
-30,88,6,32,1
-30,88,6,64,1
-30,88,6,128,1
-30,104,3,1,1
-30,104,3,2,1
-30,104,3,4,1
-30,104,3,8,1
-30,104,3,16,1
-30,104,3,32,1
-30,104,3,64,1
-30,104,3,128,1
-30,104,7,1,1
-30,104,7,2,1
-30,104,7,4,1
-30,104,7,8,1
-30,104,7,16,1
-30,104,7,32,1
-30,104,7,64,1
-30,104,7,128,1
-30,120,0,1,1
-30,120,0,2,1
-30,120,0,4,1
-30,120,0,8,1
-30,120,0,16,1
-30,120,0,32,1
-30,120,0,64,1
-30,120,0,128,0.9690551758
-30,120,4,1,1
-30,120,4,2,1
-30,120,4,4,1
-30,120,4,8,1
-30,120,4,16,1
-30,120,4,32,1
-30,120,4,64,1
-30,120,4,128,1
-30,120,8,1,1
-30,120,8,2,1
-30,120,8,4,1
-30,120,8,8,1
-30,120,8,16,1
-30,120,8,32,1
-30,120,8,64,1
-30,120,8,128,1
-30,136,9,1,1
-30,136,9,2,1
-30,136,9,4,1
-30,136,9,8,1
-30,136,9,16,1
-30,136,9,32,1
-30,136,9,64,1
-30,136,9,128,1
-30,144,1,1,1
-30,144,1,2,1
-30,144,1,4,1
-30,144,1,8,1
-30,144,1,16,1
-30,144,1,32,1
-30,144,1,64,1
-30,144,1,128,1
-30,144,2,1,1
-30,144,2,2,1
-30,144,2,4,1
-30,144,2,8,1
-30,144,2,16,1
-30,144,2,32,1
-30,144,2,64,1
-30,144,2,128,1
-30,144,5,1,1
-30,144,5,2,1
-30,144,5,4,1
-30,144,5,8,1
-30,144,5,16,1
-30,144,5,32,1
-30,144,5,64,1
-30,144,5,128,1
-30,144,10,1,1
-30,144,10,2,1
-30,144,10,4,1
-30,144,10,8,1
-30,144,10,16,1
-30,144,10,32,1
-30,144,10,64,1
-30,144,10,128,1
-30,152,0,1,1
-30,152,0,2,1
-30,152,0,4,1
-30,152,0,8,1
-30,152,0,16,1
-30,152,0,32,1
-30,152,0,64,1
-30,152,0,128,0.9859008789
-30,176,1,1,1
-30,176,1,2,1
-30,176,1,4,1
-30,176,1,8,1
-30,176,1,16,1
-30,176,1,32,1
-30,176,1,64,1
-30,176,1,128,1
-30,176,2,1,1
-30,176,2,2,1
-30,176,2,4,1
-30,176,2,8,1
-30,176,2,16,1
-30,176,2,32,1
-30,176,2,64,1
-30,176,2,128,1
-30,176,3,1,1
-30,176,3,2,1
-30,176,3,4,1
-30,176,3,8,1
-30,176,3,16,1
-30,176,3,32,1
-30,176,3,64,1
-30,176,3,128,1
-30,176,6,1,1
-30,176,6,2,1
-30,176,6,4,1
-30,176,6,8,1
-30,176,6,16,1
-30,176,6,32,1
-30,176,6,64,1
-30,176,6,128,1
-30,208,0,1,1
-30,208,0,2,1
-30,208,0,4,1
-30,208,0,8,1
-30,208,0,16,1
-30,208,0,32,1
-30,208,0,64,1
-30,208,0,128,0.9930419922
-30,208,1,1,1
-30,208,1,2,1
-30,208,1,4,1
-30,208,1,8,1
-30,208,1,16,1
-30,208,1,32,1
-30,208,1,64,1
-30,208,1,128,1
-30,208,2,1,1
-30,208,2,2,1
-30,208,2,4,1
-30,208,2,8,1
-30,208,2,16,1
-30,208,2,32,1
-30,208,2,64,1
-30,208,2,128,1
-30,208,3,1,1
-30,208,3,2,1
-30,208,3,4,1
-30,208,3,8,1
-30,208,3,16,1
-30,208,3,32,1
-30,208,3,64,1
-30,208,3,128,1
-30,208,4,1,1
-30,208,4,2,1
-30,208,4,4,1
-30,208,4,8,1
-30,208,4,16,1
-30,208,4,32,1
-30,208,4,64,1
-30,208,4,128,1
-30,224,5,1,1
-30,224,5,2,1
-30,224,5,4,1
-30,224,5,8,1
-30,224,5,16,1
-30,224,5,32,1
-30,224,5,64,1
-30,224,5,128,1
-30,224,7,1,1
-30,224,7,2,1
-30,224,7,4,1
-30,224,7,8,1
-30,224,7,16,1
-30,224,7,32,1
-30,224,7,64,1
-30,224,7,128,1
-30,256,0,1,1
-30,256,0,2,1
-30,256,0,4,1
-30,256,0,8,1
-30,256,0,16,1
-30,256,0,32,1
-30,256,0,64,1
-30,256,0,128,0.9931030273
-30,256,1,1,1
-30,256,1,2,1
-30,256,1,4,1
-30,256,1,8,1
-30,256,1,16,1
-30,256,1,32,1
-30,256,1,64,1
-30,256,1,128,0.9999694824
-30,256,2,1,1
-30,256,2,2,1
-30,256,2,4,1
-30,256,2,8,1
-30,256,2,16,1
-30,256,2,32,1
-30,256,2,64,1
-30,256,2,128,1
-30,256,3,1,1
-30,256,3,2,1
-30,256,3,4,1
-30,256,3,8,1
-30,256,3,16,1
-30,256,3,32,1
-30,256,3,64,1
-30,256,3,128,1
-30,256,4,1,1
-30,256,4,2,1
-30,256,4,4,1
-30,256,4,8,1
-30,256,4,16,1
-30,256,4,32,1
-30,256,4,64,1
-30,256,4,128,1
-30,256,6,1,1
-30,256,6,2,1
-30,256,6,4,1
-30,256,6,8,1
-30,256,6,16,1
-30,256,6,32,1
-30,256,6,64,1
-30,256,6,128,1
-30,256,8,1,1
-30,256,8,2,1
-30,256,8,4,1
-30,256,8,8,1
-30,256,8,16,1
-30,256,8,32,1
-30,256,8,64,1
-30,256,8,128,1
-30,296,9,1,1
-30,296,9,2,1
-30,296,9,4,1
-30,296,9,8,1
-30,296,9,16,1
-30,296,9,32,1
-30,296,9,64,1
-30,296,9,128,1
-30,328,2,1,1
-30,328,2,2,1
-30,328,2,4,1
-30,328,2,8,1
-30,328,2,16,1
-30,328,2,32,1
-30,328,2,64,1
-30,328,2,128,1
-30,328,3,1,1
-30,328,3,2,1
-30,328,3,4,1
-30,328,3,8,1
-30,328,3,16,1
-30,328,3,32,1
-30,328,3,64,1
-30,328,3,128,1
-30,328,4,1,1
-30,328,4,2,1
-30,328,4,4,1
-30,328,4,8,1
-30,328,4,16,1
-30,328,4,32,1
-30,328,4,64,1
-30,328,4,128,1
-30,328,5,1,1
-30,328,5,2,1
-30,328,5,4,1
-30,328,5,8,1
-30,328,5,16,1
-30,328,5,32,1
-30,328,5,64,1
-30,328,5,128,1
-30,328,7,1,1
-30,328,7,2,1
-30,328,7,4,1
-30,328,7,8,1
-30,328,7,16,1
-30,328,7,32,1
-30,328,7,64,1
-30,328,7,128,1
-30,328,10,1,1
-30,328,10,2,1
-30,328,10,4,1
-30,328,10,8,1
-30,328,10,16,1
-30,328,10,32,1
-30,328,10,64,1
-30,328,10,128,1
-30,344,1,1,1
-30,344,1,2,1
-30,344,1,4,1
-30,344,1,8,1
-30,344,1,16,1
-30,344,1,32,1
-30,344,1,64,1
-30,344,1,128,1
-30,392,6,1,1
-30,392,6,2,1
-30,392,6,4,1
-30,392,6,8,1
-30,392,6,16,1
-30,392,6,32,1
-30,392,6,64,1
-30,392,6,128,1
-30,392,8,1,1
-30,392,8,2,1
-30,392,8,4,1
-30,392,8,8,1
-30,392,8,16,1
-30,392,8,32,1
-30,392,8,64,1
-30,392,8,128,1
-30,408,4,1,1
-30,408,4,2,1
-30,408,4,4,1
-30,408,4,8,1
-30,408,4,16,1
-30,408,4,32,1
-30,408,4,64,1
-30,408,4,128,1
-30,424,2,1,1
-30,424,2,2,1
-30,424,2,4,1
-30,424,2,8,1
-30,424,2,16,1
-30,424,2,32,1
-30,424,2,64,1
-30,424,2,128,1
-30,424,5,1,1
-30,424,5,2,1
-30,424,5,4,1
-30,424,5,8,1
-30,424,5,16,1
-30,424,5,32,1
-30,424,5,64,1
-30,424,5,128,1
-30,440,3,1,1
-30,440,3,2,1
-30,440,3,4,1
-30,440,3,8,1
-30,440,3,16,1
-30,440,3,32,1
-30,440,3,64,1
-30,440,3,128,1
-30,456,9,1,1
-30,456,9,2,1
-30,456,9,4,1
-30,456,9,8,1
-30,456,9,16,1
-30,456,9,32,1
-30,456,9,64,1
-30,456,9,128,1
-30,472,7,1,1
-30,472,7,2,1
-30,472,7,4,1
-30,472,7,8,1
-30,472,7,16,1
-30,472,7,32,1
-30,472,7,64,1
-30,472,7,128,1
-30,504,5,1,1
-30,504,5,2,1
-30,504,5,4,1
-30,504,5,8,1
-30,504,5,16,1
-30,504,5,32,1
-30,504,5,64,1
-30,504,5,128,1
-30,504,6,1,1
-30,504,6,2,1
-30,504,6,4,1
-30,504,6,8,1
-30,504,6,16,1
-30,504,6,32,1
-30,504,6,64,1
-30,504,6,128,1
-30,504,10,1,1
-30,504,10,2,1
-30,504,10,4,1
-30,504,10,8,1
-30,504,10,16,1
-30,504,10,32,1
-30,504,10,64,1
-30,504,10,128,1
-30,536,8,1,1
-30,536,8,2,1
-30,536,8,4,1
-30,536,8,8,1
-30,536,8,16,1
-30,536,8,32,1
-30,536,8,64,1
-30,536,8,128,1
-30,552,4,1,1
-30,552,4,2,1
-30,552,4,4,1
-30,552,4,8,1
-30,552,4,16,1
-30,552,4,32,1
-30,552,4,64,1
-30,552,4,128,1
-30,568,3,1,1
-30,568,3,2,1
-30,568,3,4,1
-30,568,3,8,1
-30,568,3,16,1
-30,568,3,32,1
-30,568,3,64,1
-30,568,3,128,1
-30,584,7,1,1
-30,584,7,2,1
-30,584,7,4,1
-30,584,7,8,1
-30,584,7,16,1
-30,584,7,32,1
-30,584,7,64,1
-30,584,7,128,1
-30,600,6,1,1
-30,600,6,2,1
-30,600,6,4,1
-30,600,6,8,1
-30,600,6,16,1
-30,600,6,32,1
-30,600,6,64,1
-30,600,6,128,1
-30,616,9,1,1
-30,616,9,2,1
-30,616,9,4,1
-30,616,9,8,1
-30,616,9,16,1
-30,616,9,32,1
-30,616,9,64,1
-30,616,9,128,1
-30,680,4,1,1
-30,680,4,2,1
-30,680,4,4,1
-30,680,4,8,1
-30,680,4,16,1
-30,680,4,32,1
-30,680,4,64,1
-30,680,4,128,1
-30,680,5,1,1
-30,680,5,2,1
-30,680,5,4,1
-30,680,5,8,1
-30,680,5,16,1
-30,680,5,32,1
-30,680,5,64,1
-30,680,5,128,1
-30,680,8,1,1
-30,680,8,2,1
-30,680,8,4,1
-30,680,8,8,1
-30,680,8,16,1
-30,680,8,32,1
-30,680,8,64,1
-30,680,8,128,1
-30,680,10,1,1
-30,680,10,2,1
-30,680,10,4,1
-30,680,10,8,1
-30,680,10,16,1
-30,680,10,32,1
-30,680,10,64,1
-30,680,10,128,1
-30,712,7,1,1
-30,712,7,2,1
-30,712,7,4,1
-30,712,7,8,1
-30,712,7,16,1
-30,712,7,32,1
-30,712,7,64,1
-30,712,7,128,1
-30,776,9,1,1
-30,776,9,2,1
-30,776,9,4,1
-30,776,9,8,1
-30,776,9,16,1
-30,776,9,32,1
-30,776,9,64,1
-30,776,9,128,1
-30,808,6,1,1
-30,808,6,2,1
-30,808,6,4,1
-30,808,6,8,1
-30,808,6,16,1
-30,808,6,32,1
-30,808,6,64,1
-30,808,6,128,1
-30,808,8,1,1
-30,808,8,2,1
-30,808,8,4,1
-30,808,8,8,1
-30,808,8,16,1
-30,808,8,32,1
-30,808,8,64,1
-30,808,8,128,1
-30,872,5,1,1
-30,872,5,2,1
-30,872,5,4,1
-30,872,5,8,1
-30,872,5,16,1
-30,872,5,32,1
-30,872,5,64,1
-30,872,5,128,1
-30,872,10,1,1
-30,872,10,2,1
